"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"trumpet",902,810,90,21920,"69","1","7",165000
"kids handwriting",803,800,100,19624,"69","1","16",0
"neverland",303,0,0,7179,"69","1","9","N/A"
"octopus wall art",583,577,99,14387,"70","0","16",480
"taylor swift wall art",608,601,99,15298,"70","0","21",720
"ganesha wall art",121,169,140,3026,"70","1","16",140
"glass wall clock",95,56,59,2396,"70","2","16",260
"woven wall art",1297,1321,102,33855,"71","0","14",1300
"chicago wall art",983,971,99,26186,"71","0","16",720
"firefighter",2453,2521,103,63355,"71","1","11",110000
"oversized wall art",2623,2724,104,71256,"72","1","18",6600
"japandi wall art",1669,1773,106,46842,"72","0","16",720
"sage green wall art",1364,1575,115,37328,"72","0","19",720
"long horizontal wall art",581,700,120,15922,"72","0","24",880
"islamic wall art for living room",601,600,100,17628,"73","0","32",140
"custom quote wall art",1216,1218,100,36668,"74","0","21",320
"ceramic wall hanging",523,494,94,16515,"75","2","20",590
"custom pet portrait",5298,6067,115,169496,"75","1","19",6600
"william morris clock",2,0,0,64,"75","1","20","N/A"
"william morris wall art",579,573,99,19232,"76","0","23",480
"pirate",3478,4949,142,122538,"77","1","6",823000
"photographer gift",589,575,98,20608,"77","1","17",3600
"ceramic wall art",1696,1703,100,60768,"78","0","16",1900
"indian wall art",1684,2034,121,62017,"78","0","15",880
"extra large wall art",1091,1088,100,40066,"78","1","20",2400
"tree of life wall art",1357,1419,105,48150,"78","0","21",1600
"funky wall art",1733,1874,108,66125,"79","0","14",590
"mosaic wall art",1033,1056,102,41130,"80","2","15",1000
"golf wall art",1233,1201,97,51253,"81","0","13",1300
"martini wall art",592,585,99,24248,"81","0","16",260
"monet wall art",556,550,99,23195,"81","0","14",390
"outdoor metal wall art",1731,1800,104,72747,"81","0","22",5400
"house warming gift",2926,2946,101,120829,"81","2","18",74000
"beach house sign",598,593,99,25399,"81","1","16",210
"tattoo shop decor",50,64,128,2079,"81","1","17",320
"irish wall art",983,978,99,42181,"82","0","14",320
"weird wall art",583,576,99,25663,"82","0","14",210
"textured wall art",3661,3702,101,163764,"83","0","17",5400
"tapestry wall art",1823,1795,98,82194,"83","0","17",1900
"led wall art",1152,1508,131,52113,"83","0","12",1600
"soccer wall art",1109,1128,102,51817,"83","0","15",390
"southwestern wall art",938,1058,113,43852,"83","0","21",320
"cheetah wall art",878,875,100,40609,"83","0","16",590
"southwest wall art",799,796,100,37055,"83","0","18",260
"matisse wall art",793,784,99,35693,"83","0","16",320
"unique wall clock",399,312,78,18893,"84","3","17",2900
"african american wall art",1378,1542,112,67683,"85","0","25",880
"fused glass",1269,1324,104,64174,"85","1","11",3600
"islamic decor",981,941,96,50227,"85","1","13",720
"pop art sculpture",176,252,143,9239,"86","2","17",720
"pet memorial gift",5544,6355,115,291606,"86","1","17",8100
"eid decor",378,320,85,20268,"86","1","9","N/A"
"mexican wall art",1530,1531,100,83699,"87","0","16",1600
"basketball wall art",1289,1284,100,70011,"87","0","19",590
"mandala wall art",1077,1098,102,58940,"87","0","16",720
"tiger wall art",1015,1007,99,54728,"87","0","14",480
"cherry blossom wall art",498,491,99,27772,"87","0","23",590
"dinosaur wall art",790,788,100,45781,"88","0","17",590
"dentist wall clock",1,0,0,58,"88","1","18","N/A"
"captain hook",85,0,0,4987,"88","1","12","N/A"
"wood wall art large",696,676,97,41718,"89","0","19",1000
"cocktail wall art",1044,1128,108,65642,"90","0","17",260
"bookish wall art",1013,1008,100,63072,"90","0","16",880
"surf wall art",772,765,99,47920,"90","0","13",1300
"navy blue wall art",686,679,99,43034,"90","0","18",720
"dog memorial gift",3523,4261,121,219328,"90","1","17",2400
"turtle",3253,3600,111,205975,"90","2","6",450000
"mosaic",3038,3450,114,191664,"90","1","6",165000
"japanese wall art",2480,2728,110,166548,"91","0","17",1900
"texas wall art",989,980,99,66852,"91","0","14",590
"panoramic wall art",527,623,118,34385,"91","0","18",480
"large metal wall art",346,377,109,22409,"91","1","20",1900
"peter pan",399,292,73,26781,"91","1","9",201000
"cool clock",35,45,129,2341,"91","1","10",2400
"koi pond sign",2,0,0,135,"91","1","13","N/A"
"wood wall art modern",808,816,101,56780,"92","0","20",30
"metal name sign",1089,1081,99,76540,"92","1","15",880
"lake house decor",997,988,99,73262,"93","1","16",2400
"christian wall art",5741,6473,113,442035,"94","0","18",6600
"catholic wall art",945,941,100,71633,"94","0","17",720
"funny bathroom wall art",1220,1377,113,92122,"94","0","23",1900
"oil painting",6110,6789,111,465750,"94","1","12",33100
"ceramic sculpture",511,612,120,39543,"94","2","17","N/A"
"diploma",255,51,20,19574,"94","1","7","N/A"
"metal wall art",4308,4282,99,343319,"95","6","14",18100
"copper wall art",688,675,98,55206,"95","0","15",1000
"graffiti wall art",547,576,105,43097,"95","0","17",1600
"dark academia wall art",1218,1283,105,96916,"95","0","22",480
"stained glass wall art",1005,1108,110,80882,"95","0","22",1000
"geometric wood wall art",623,637,102,48724,"95","0","23",720
"macrame",3680,4273,116,287792,"95","2","7",90500
"pig",2027,2210,109,158850,"95","1","3",0
"cool wall art",1619,1621,100,133470,"96","0","13",2400
"resin wall art",520,601,116,43761,"96","2","14",590
"mid century modern wall art",1846,1884,102,150175,"96","0","27",2400
"flower vase",1661,1941,117,140426,"96","1","11",49500
"affirmations wall art",1478,167,11,131273,"97","0","21","N/A"
"desert wall art",1030,1048,102,90489,"97","0","15",590
"above bed wall art",542,534,99,46498,"97","0","18",1600
"custom metal sign",1719,1813,105,147907,"97","2","17",12100
"sea turtle",1081,1029,95,92671,"97","2","10",201000
"cleveland",295,387,131,25814,"97","1","9",368000
"large wall art",4316,4643,108,396959,"98","1","14",18100
"city map wall art",994,991,100,90167,"98","0","17",210
"woodland nursery wall art",704,687,98,64008,"98","0","25",260
"kitchen wall clock",242,251,104,21965,"98","1","18",4400
"wooden wall art",1598,1619,101,152112,"99","0","15",9900
"playroom wall art",1207,1236,102,115065,"99","1","17",590
"princess wall art",869,864,99,82951,"99","0","17",260
"modern islamic art",103,100,97,9960,"99","3","18","N/A"
"wall art",59846,70552,118,15248319,"100","36","8",90500
"art deco wall art",1278,1302,102,524191,"100","0","17",1600
"printable wall art",8711,10008,115,2760314,"100","0","18",1900
"digital wall art",5818,6905,119,10477524,"100","0","16",480
"wall art prints",5248,5967,114,9651076,"100","2","15",4400
"bathroom wall art",4574,4732,103,1131963,"100","0","17",9900
"nursery wall art",4529,4987,110,1218747,"100","4","16",2400
"kitchen wall art",3370,3496,104,2310959,"100","1","16",6600
"framed wall art",3200,3244,101,1326096,"100","1","15",9900
"abstract wall art",3043,3376,111,1308572,"100","2","17",12100
"wood wall art",3023,3162,105,797500,"100","2","13",9900
"vintage wall art",2837,2721,96,2330288,"100","3","16",4400
"horizontal wall art",2770,3344,121,1712601,"100","0","19",2400
"canvas wall art",2654,3406,128,1461347,"100","0","15",14800
"prints wall art",2616,2750,105,9580328,"100","0","15",1900
"wall art print",2450,2697,110,9639570,"100","0","14",4400
"3d wall art",2433,2668,110,266312,"100","4","11",6600
"modern wall art",2302,2610,113,1353658,"100","4","15",8100
"office wall art",2188,2207,101,3048635,"100","2","15",4400
"outdoor wall art",2173,2186,101,268698,"100","0","16",5400
"unique wall art",2136,2269,106,542124,"100","3","15",3600
"vertical wall art",2133,2220,104,3662861,"100","0","17",1900
"retro wall art",2123,2162,102,1126126,"100","2","14",880
"pink wall art",2079,2150,103,1196521,"100","1","13",1900
"mens wall art",2043,2179,107,496256,"100","0","13",2900
"boho wall art",2033,2253,111,654445,"100","1","13",2900
"bedroom wall art",1953,1989,102,3832851,"100","4","16",9900
"christmas wall art",1933,2310,120,1809828,"100","0","18",6600
"black wall art",1894,1847,98,2352332,"100","0","14",2900
"wall art framed",1868,1860,100,1303836,"100","0","15",1000
"blue wall art",1835,2016,110,1657067,"100","0","13",2400
"minimalist wall art",1832,1859,101,1086378,"100","0","19",3600
"coastal wall art",1793,1785,100,433760,"100","0","16",3600
"mountain wall art",1758,2041,116,290326,"100","0","17",1300
"coffee wall art",1753,1758,100,214135,"100","0","15",880
"glass wall art",1731,1666,96,269297,"100","5","14",2900
"personalized wall art",1728,1544,89,625674,"100","0","21",4400
"motivational wall art",1696,1650,97,270950,"100","0","21",1300
"floral wall art",1663,1608,97,997355,"100","1","15",1900
"wall art set",1650,1570,95,727005,"100","0","12",1600
"cat wall art",1639,1992,122,359588,"100","0","12",1000
"inspirational wall art",1576,1582,100,755547,"100","0","22",1600
"botanical wall art",1570,1611,103,433774,"100","1","18",1300
"scripture wall art",1559,1505,97,172881,"100","0","18",1900
"moody wall art",1494,1501,100,193261,"100","0","14",1300
"green wall art",1488,1532,103,1220879,"100","0","14",2400
"trendy wall art",1485,1450,98,666125,"100","2","15",720
"gothic wall art",1461,1593,109,365267,"100","0","15",880
"western wall art",1456,1533,105,302882,"100","0","16",1900
"eclectic wall art",1418,1555,110,435620,"100","2","17",720
"colorful wall art",1410,1412,100,624633,"100","3","17",2400
"custom wall art",1406,1460,104,1040413,"100","1","15",4400
"wall art mockup",1401,1756,125,340210,"100","0","15",320
"kids wall art",1393,1392,100,1954338,"100","0","13",0
"gallery wall art",1391,1338,96,372118,"100","1","16",6600
"jesus wall art",1384,1391,101,220271,"100","0","14",1900
"beach wall art",1360,1359,100,637024,"100","1","14",2400
"african wall art",1358,1340,99,139354,"100","0","16",1000
"music wall art",1344,1331,99,301571,"100","0","14",1300
"wall art printable",1324,1338,101,2755048,"100","0","18",4400
"funny wall art",1238,1391,112,937053,"100","1","14",1300
"horse wall art",1238,1249,101,121861,"100","0","14",1900
"city wall art",1216,1233,101,323895,"100","0","13",390
"small wall art",1202,1269,106,166204,"100","1","14",1000
"landscape wall art",1195,1183,99,1463537,"100","0","18",1900
"poster wall art",1190,1471,124,2980588,"100","0","15",1000
"bird wall art",1189,1171,98,287159,"100","0","13",1300
"butterfly wall art",1188,1315,111,134302,"100","1","18",1900
"watercolor wall art",1182,1297,110,1058942,"100","0","19",480
"farmhouse wall art",1173,1258,107,748636,"100","2","18",1300
"nature wall art",1166,1287,110,808417,"100","3","15",1300
"leopard wall art",1152,1158,101,149781,"100","0","16",720
"acrylic wall art",1144,1190,104,424377,"100","1","16",1300
"nautical wall art",1122,1183,105,243530,"100","1","17",880
"ocean wall art",1121,1136,101,337818,"100","0","14",1000
"map wall art",1104,1104,100,348001,"100","0","12",720
"halloween wall art",1103,1324,120,763169,"100","0","18",1600
"quote wall art",1101,1111,101,797874,"100","2","14",720
"geometric wall art",1100,1091,99,884329,"100","1","18",1000
"dog wall art",1098,1162,106,371687,"100","0","12",880
"forest wall art",1003,1060,106,284600,"100","0","15",590
"whimsical wall art",1003,1001,100,283596,"100","0","18",720
"bar wall art",998,976,98,330481,"100","0","12",480
"anime wall art",988,1319,134,416369,"100","0","14",880
"car wall art",973,1127,116,185741,"100","0","12",1300
"aesthetic wall art",968,946,98,587622,"100","0","18",590
"fall wall art",966,979,101,587040,"100","0","13",1600
"dorm wall art",959,950,99,1377100,"100","0","13",390
"religious wall art",949,1000,105,442310,"100","1","18",880
"book wall art",943,924,98,309296,"100","0","13",880
"apartment wall art",902,896,99,124317,"100","0","18",390
"sports wall art",902,899,100,416625,"100","0","15",590
"wall art digital",899,1049,117,10461271,"100","0","16",480
"tree wall art",880,861,98,996805,"100","0","13",1600
"maximalist wall art",815,825,101,84467,"100","0","19",320
"sunflower wall art",805,809,100,93566,"100","0","18",720
"baseball wall art",803,796,99,108741,"100","0","17",480
"scandinavian wall art",798,794,99,83667,"100","0","21",590
"mexico wall art",786,781,99,82782,"100","0","15",1600
"travel wall art",786,780,99,697381,"100","0","15",260
"neutral wall art",781,764,98,378591,"100","0","16",1900
"fish wall art",768,710,92,91557,"100","1","13",880
"girly wall art",749,767,102,222705,"100","0","14",320
"urban wall art",725,783,108,112569,"100","0","14",320
"valentines wall art",718,273,38,318666,"100","0","19","N/A"
"wall art bundle",711,735,103,699247,"100","0","15",50
"football wall art",707,664,94,214976,"100","0","17",320
"downloadable wall art",668,799,120,271159,"100","0","21",110
"college wall art",668,697,104,107687,"100","0","16",0
"round wall art",663,792,119,128098,"100","1","14",880
"french wall art",644,661,103,189291,"100","0","15",320
"purple wall art",625,618,99,412079,"100","0","15",590
"preppy wall art",615,531,86,246838,"100","0","15",260
"contemporary wall art",613,717,117,714831,"100","0","21",1300
"wall art decor",612,442,72,14921780,"100","1","14",12100
"animal wall art",607,601,99,1389331,"100","1","15",590
"fun wall art",600,588,98,231352,"100","2","12",1300
"zen wall art",595,587,99,73400,"100","0","12",480
"wall art bedroom",592,567,96,3882955,"100","0","16",9900
"fabric wall art",585,579,99,197418,"100","0","15",1300
"lake wall art",582,576,99,188539,"100","0","13",480
"quirky wall art",578,554,96,96242,"100","0","15",210
"flower wall art",555,563,101,1270029,"100","0","15",1000
"paris wall art",541,770,142,54975,"100","0","14",390
"cute wall art",533,547,103,1203439,"100","0","13",720
"winter wall art",518,515,99,442639,"100","0","15",880
"santa wall art",508,546,107,277479,"100","0","14",720
"rustic wall art",507,528,104,654859,"100","0","15",1000
"wall art large",506,503,99,386853,"100","0","14",590
"movie wall art",503,462,92,267509,"100","0","14",390
"piece wall art",499,508,102,112482,"100","0","14",320
"living room wall art",2034,2256,111,4363081,"100","1","20",3600
"custom wall art gift",2032,2163,106,570229,"100","0","20",0
"bible verse wall art",1746,1784,102,221795,"100","0","20",1600
"wall art living room",1559,1661,107,4295174,"100","0","20",1600
"dining room wall art",1408,1412,100,1965298,"100","0","20",4400
"mid century wall art",1388,1403,101,264341,"100","0","20",1300
"digital download wall art",1277,1310,103,4963675,"100","0","25",260
"wall art digital download",1275,1375,108,4983197,"100","0","25",30
"black girl wall art",1004,956,95,152967,"100","0","19",0
"kids room wall art",857,957,112,1155808,"100","1","18",0
"laundry room wall art",794,791,100,145626,"100","0","21",720
"christian wall art printable",688,680,99,131055,"100","0","28",20
"midcentury modern wall art",657,555,84,83012,"100","0","26",210
"american flag wall art",597,591,99,89234,"100","0","22",720
"home decor wall art",593,556,94,14791347,"100","0","19",6600
"girl nursery wall art",592,586,99,195751,"100","0","21",0
"new york wall art",590,583,99,88599,"100","0","17",720
"black woman wall art",590,585,99,162833,"100","0","20",0
"halloween wall art digital",587,0,0,709572,"100","0","26","N/A"
"wood wall art decor",584,569,97,726859,"100","0","19",8100
"bar cart wall art",582,575,99,62025,"100","0","17","N/A"
"digital prints wall art",563,675,120,7136029,"100","0","23",260
"wall art and decor",553,632,114,14696507,"100","0","18",12100
"black and white wall art",2369,2798,118,1080050,"100","0","24",4400
"set of 3 wall art",2242,2258,101,229675,"100","0","17",1900
"wall art for living room",1854,1976,107,4359013,"100","0","24",14800
"wall art set of 3",1404,1501,107,229480,"100","0","17",1900
"pink and green wall art",683,677,99,163023,"100","0","23",480
"set of 2 wall art",527,514,98,143156,"100","0","17",1300
"wall art prints set of 3",494,487,99,189389,"100","0","24",20
"art",27978,31358,112,25562359,"100","1","3",450000
"handmade wall art",325,176,54,289369,"100","2","17",170
"arabic wall art",226,273,121,26178,"100","2","15",260
"celestial wall art",171,190,111,182022,"100","1","18",210
"fashion wall art",137,97,71,403751,"100","1","16",320
"texture wall art",115,164,143,149249,"100","2","16",5400
"crystal wall art",117,166,142,36980,"100","1","16",390
"hanging wall art",105,97,92,420650,"100","3","16",1300
"sculpture wall art",103,94,91,92518,"100","2","18",3600
"embroidered wall art",46,5,11,25244,"100","1","20",1300
"bundle wall art",34,3,9,695533,"100","1","15","N/A"
"traditional wall art",8,1,13,74420,"100","2","20",260
"scenic wall art",8,1,13,80334,"100","1","15","N/A"
"wall art canvas",11,2,18,1437491,"100","1","15",1600
"quran wall art",9,1,11,11899,"100","1","14",90
"luxury wall art",8,1,13,89412,"100","1","15","N/A"
"money wall art",8,1,13,38035,"100","1","14",260
"turtle wall art",13,2,15,31225,"100","1","15",320
"camera wall art",3,0,0,11942,"100","1","15","N/A"
"multilayer wall art",4,0,0,11339,"100","1","19","N/A"
"cherub wall art",4,0,0,3582,"100","1","15","N/A"
"kawaii wall art",5,0,0,177791,"100","1","15","N/A"
"kitsch wall art",6,1,17,9723,"100","1","15","N/A"
"sakura wall art",3,0,0,12989,"100","1","15","N/A"
"popsicle wall art",1,0,0,4110,"100","3","17","N/A"
"dimension wall art",2,0,0,6265,"100","2","18","N/A"
"sewing wall art",1,0,0,56958,"100","1","15","N/A"
"pallet wall art",2,0,0,5296,"100","1","15","N/A"
"art nouveau art",50,64,128,277641,"100","1","15",1300
"wall decor",22771,25076,110,16572292,"100","6","10",49500
"wall painting",358,346,97,2270325,"100","1","13",14800
"candy wall",8,1,13,63420,"100","1","10",720
"fused glass wall art",31,10,32,4714,"100","2","20",260
"man cave wall art",10,1,10,259120,"100","1","17",390
"above couch wall art",6,1,17,8504,"100","2","20",480
"sea shell wall art",7,1,14,13258,"100","1","18","N/A"
"metal glass wall art",2,0,0,5085,"100","2","20",70
"blue rose wall art",1,0,0,18823,"100","1","18","N/A"
"art print",11155,12327,111,10380551,"100","1","9",27100
"art deco",3955,4388,111,1342963,"100","1","8",90500
"abstract art",3713,4079,110,1615168,"100","2","12",110000
"wood art",2061,2283,111,1156706,"100","2","8",5400
"garden art",1929,1936,100,710772,"100","1","10",4400
"nursery art",1794,1932,108,1347944,"100","1","11",2900
"modern art",1658,1527,92,1680753,"100","2","10",40500
"glass art",1484,1712,115,1085122,"100","1","9",9900
"coastal art",1223,1250,102,501541,"100","1","11",3600
"contemporary art",457,351,77,770958,"100","1","16",33100
"unique art",358,478,134,1263008,"100","2","10",2400
"fiber art",331,333,101,722448,"100","1","9",9900
"textured art",153,180,118,252309,"100","1","12",9900
"embroidered art",144,198,138,86544,"100","1","15",2400
"handmade art",124,96,77,1021752,"100","2","12",590
"art decor",96,116,121,16776826,"100","3","9",1600
"tattoo art",101,94,93,120067,"100","2","10",5400
"fine art",97,45,46,717246,"100","1","8",27100
"heart art",105,97,92,540914,"100","1","9",4400
"upcycled art",88,127,144,121381,"100","1","12","N/A"
"mirror art",91,104,114,55574,"100","1","10",2900
"candy art",41,52,127,165765,"100","1","9","N/A"
"paper art",38,44,116,5309575,"100","1","9",4400
"quirky art",27,27,100,167001,"100","1","10",260
"layered art",9,1,11,153397,"100","3","11",1300
"art frame",8,1,13,1518204,"100","1","9",8100
"monopoly art",8,1,13,5007,"100","1","12",1000
"lighthouse art",8,1,13,43091,"100","1","14",880
"plaster art",8,1,13,12694,"100","1","11","N/A"
"sunset art",14,6,43,238730,"100","1","10",2900
"geode art",5,1,20,21636,"100","2","9","N/A"
"choctaw art",3,0,0,379,"100","1","11","N/A"
"recycled art",3,0,0,169428,"100","1","12","N/A"
"dimension art",1,0,0,11321,"100","1","13","N/A"
"cuttlefish art",2,0,0,382,"100","1","14","N/A"
"nursery wall decor",1872,2040,109,1350319,"100","2","18",3600
"metal wall decor",1394,1524,109,506618,"100","2","16",5400
"office wall decor",1348,1341,99,3256785,"100","2","17",4400
"gallery wall set",1174,1121,95,115673,"100","1","16",880
"cute wall decor",172,168,98,1226477,"100","1","15",1000
"flower wall decor",137,140,102,1328444,"100","1","17",3600
"canvas wall hanging",128,189,148,78970,"100","1","19","N/A"
"nursery wall hanging",38,16,42,52793,"100","1","20",170
"floral wall clock",13,13,100,3455,"100","2","17",390
"vibrant wall decor",13,4,31,208969,"100","1","18","N/A"
"bohemian wall decor",10,1,10,476875,"100","1","19",590
"colorful wall clock",7,1,14,4209,"100","1","19",320
"silent wall clock",8,1,13,6680,"100","1","17",1300
"gallery wall decor",8,1,13,378580,"100","1","18",4400
"zen wall decor",8,1,13,75006,"100","1","14",140
"nature wall clock",6,1,17,2909,"100","1","17","N/A"
"wood wall sculptures",3,0,0,28888,"100","2","20",590
"large wall mural",3,0,0,13504,"100","1","16","N/A"
"ganesha wall hanging",4,0,0,497,"100","1","20","N/A"
"samurai wall decor",1,0,0,9208,"100","2","18","N/A"
"luxury wall decor",2,0,0,90434,"100","2","17","N/A"
"funny wall clock",2,0,0,1695,"100","1","16","N/A"
"ganpati wall decor",1,0,0,302,"100","1","18","N/A"
"wall mask decor",1,0,0,32595,"100","1","15","N/A"
"digital download art",1419,1414,100,6350493,"100","1","20",210
"fine art ceramics",1256,184,15,133493,"100","1","17",70
"kids room art",1033,1030,100,1222704,"100","1","13",0
"digital art print",850,883,104,7379573,"100","1","17",590
"geometric wood art",531,543,102,62418,"100","2","18",260
"home decor art",127,177,139,15844225,"100","1","14",1000
"whimsical animal art",103,94,91,135092,"100","1","20",260
"sacred geometry art",102,94,92,18481,"100","1","19",1300
"pop art decor",77,102,132,178696,"100","1","13",170
"man cave art",43,53,123,292493,"100","1","12",480
"fine art print",23,6,26,386004,"100","1","14",6600
"wood panel art",9,1,11,18928,"100","1","14",880
"large floral art",8,1,13,42175,"100","1","16",210
"alphonse mucha art",4,0,0,5294,"100","1","18","N/A"
"home art decor",4,0,0,14742408,"100","1","14","N/A"
"large metal art",5,1,20,29372,"100","1","15",260
"matisse style art",4,0,0,4736,"100","1","17",590
"modern art sculpture",5,1,20,29822,"100","1","20","N/A"
"fantasy nursery art",3,0,0,54314,"100","2","19","N/A"
"hanging glass art",3,0,0,87680,"100","1","17","N/A"
"turtle art print",3,0,0,18556,"100","1","16","N/A"
"balloon dog art",3,0,0,5216,"100","1","15","N/A"
"abstract glass art",3,0,0,35996,"100","1","18","N/A"
"modern pop art",2,0,0,55427,"100","3","14","N/A"
"yoga studio art",1,0,0,14310,"100","2","15","N/A"
"belle epoque art",1,0,0,3191,"100","1","16","N/A"
"dichroic glass art",1,0,0,9043,"100","1","18",320
"asian floral art",1,0,0,9292,"100","1","16","N/A"
"steampunk art decor",1,0,0,34377,"100","1","19","N/A"
"colorful pop art",1,0,0,40186,"100","1","16","N/A"
"hindu god art",2,0,0,6652,"100","1","13","N/A"
"balloon animal art",2,0,0,11798,"100","1","18","N/A"
"modern glass art",1,0,0,40179,"100","1","16","N/A"
"ice cream wall decor",1,0,0,23941,"100","1","20","N/A"
"black white dog art",2,0,0,47556,"100","1","19","N/A"
"gift for art lovers",2,0,0,355858,"100","1","19","N/A"
"koi fish metal art",1,0,0,321,"100","1","18","N/A"
"one of a kind art",4,0,0,129545,"100","1","17","N/A"
"gift",65740,83232,127,33152946,"100","1","4",450000
"personalized gift",51032,55516,109,5573446,"100","3","17",110000
"home decor",38412,39329,102,24385803,"100","20","10",165000
"poster",31305,40945,131,3413543,"100","1","6",165000
"wedding gift",22189,21433,97,2719345,"100","3","12",33100
"gift for her",18479,18873,102,5409638,"100","6","12",33100
"painting",18248,23516,129,2787009,"100","1","8",450000
